{0: 5.46, 1: 5.41, 2: 5.36, 3: 5.3, 4: 5.25, 5: 5.19, 6: 5.14, 7: 5.12, 8: 5.11}
{0: 5.08, 1: 5.07, 2: 5.05, 3: 5.03, 4: 5, 5: 4.99, 6: 4.98, 7: 4.95, 8: 4.92}
{0: 4.84, 1: 4.79, 2: 4.74, 3: 4.7, 4: 4.67, 5: 4.63, 6: 4.6, 7: 4.56, 8: 4.55}
{0: 4.51, 1: 4.48, 2: 4.45, 3: 4.42, 4: 4.38, 5: 4.32, 6: 4.27, 7: 4.21, 8: 4.17}
{0: 4.1, 1: 4.04, 2: 3.99, 3: 3.94, 4: 3.9, 5: 3.89, 6: 3.87, 7: 3.86, 8: 3.85}
{0: 3.8, 1: 3.79, 2: 3.78, 3: 3.78, 4: 3.77, 5: 3.76, 6: 3.73, 7: 3.69, 8: 3.65}
{0: 3.59, 1: 3.55, 2: 3.53, 3: 3.5, 4: 3.45, 5: 3.4, 6: 3.38, 7: 3.36, 8: 3.34}
{0: 3.28, 1: 3.24, 2: 3.16, 3: 3.11, 4: 3.06, 5: 3.02, 6: 2.99, 7: 2.96, 8: 2.94}
{0: 2.91, 1: 2.9, 2: 2.86, 3: 2.83, 4: 2.8, 5: 2.75, 6: 2.7, 7: 2.65, 8: 2.61}
{0: 2.55, 1: 2.54, 2: 2.52, 3: 2.5, 4: 2.47, 5: 2.45, 6: 2.44, 7: 2.44, 8: 2.43}
{0: 2.41, 1: 2.39, 2: 2.36, 3: 2.31, 4: 2.26, 5: 2.21, 6: 2.19, 7: 2.17, 8: 2.16}
{0: 2.1, 1: 2.07, 2: 2.05, 3: 2.04, 4: 2.01, 5: 1.99, 6: 1.94, 7: 1.9, 8: 1.87}
{0: 1.81, 1: 1.79, 2: 1.78, 3: 1.76, 4: 1.74, 5: 1.72, 6: 1.71, 7: 1.68, 8: 1.65}
{0: 1.56, 1: 1.51, 2: 1.47, 3: 1.45, 4: 1.41, 5: 1.37, 6: 1.32, 7: 1.27, 8: 1.23}
{0: 1.12, 1: 1.09, 2: 1.05, 3: 1.02, 4: 0.99, 5: 0.96, 6: 0.92, 7: 0.89, 8: 0.85}
